pedestrianId simTime groupId-PID5
46 1.8 1
47 1.8 1
48 1.8 1
49 1.8 1
51 1.8 1
52 1.8 1
56 1.8 1
62 1.8 1
65 1.8 1
71 1.8 1
72 1.8 1
73 1.8 1
74 1.8 1
78 1.8 0
80 1.8 1
84 1.8 1
85 1.8 1
86 1.8 1
87 1.8 1
91 1.8 1
93 1.8 1
96 1.8 1
2 1.9 0
3 1.9 0
14 1.9 1
15 1.9 1
18 1.9 1
19 1.9 1
20 1.9 1
24 1.9 1
26 1.9 1
31 1.9 1
34 1.9 1
38 1.9 1
39 1.9 1
50 1.9 1
54 1.9 1
64 1.9 1
66 1.9 1
68 1.9 1
69 1.9 1
75 1.9 1
76 1.9 1
79 1.9 1
81 1.9 1
82 1.9 1
83 1.9 1
89 1.9 1
90 1.9 1
92 1.9 1
94 1.9 1
98 1.9 1
5 2.0 0
6 2.0 0
13 2.0 1
16 2.0 1
21 2.0 1
23 2.0 1
28 2.0 1
33 2.0 1
53 2.0 1
57 2.0 1
58 2.0 1
59 2.0 1
60 2.0 1
61 2.0 1
63 2.0 1
67 2.0 1
70 2.0 1
95 2.0 1
100 2.0 1
11 2.2 1
25 2.2 1
77 2.2 1
99 2.2 1
7 2.3 0
9 2.3 0
12 2.3 1
17 2.3 1
22 2.3 1
29 2.3 1
42 2.3 1
43 2.3 1
46 2.3 1
55 2.3 1
56 2.3 1
62 2.3 1
65 2.3 1
72 2.3 1
80 2.3 1
88 2.3 1
91 2.3 1
93 2.3 1
96 2.3 1
97 2.3 1
1 2.4 0
4 2.4 0
8 2.4 0
10 2.4 0
14 2.4 1
27 2.4 1
30 2.4 1
31 2.4 1
32 2.4 1
34 2.4 1
35 2.4 1
36 2.4 1
37 2.4 1
38 2.4 1
40 2.4 1
41 2.4 1
44 2.4 1
45 2.4 1
47 2.4 1
48 2.4 1
49 2.4 1
51 2.4 1
52 2.4 1
54 2.4 1
71 2.4 1
73 2.4 1
74 2.4 1
78 2.4 0
84 2.4 1
85 2.4 1
86 2.4 1
87 2.4 1
2 2.5 0
3 2.5 0
15 2.5 1
19 2.5 1
20 2.5 1
24 2.5 1
26 2.5 1
39 2.5 1
50 2.5 1
64 2.5 1
66 2.5 1
75 2.5 1
79 2.5 1
81 2.5 1
82 2.5 1
83 2.5 1
89 2.5 1
90 2.5 1
92 2.5 1
94 2.5 1
98 2.5 1
5 2.6 0
6 2.6 0
13 2.6 1
18 2.6 1
21 2.6 1
23 2.6 1
28 2.6 1
33 2.6 1
53 2.6 1
57 2.6 1
58 2.6 1
59 2.6 1
63 2.6 1
67 2.6 1
68 2.6 1
69 2.6 1
70 2.6 1
76 2.6 1
100 2.6 1
11 2.7 1
16 2.7 1
60 2.7 1
61 2.7 1
95 2.7 1
12 2.8 1
22 2.8 1
25 2.8 1
43 2.8 1
55 2.8 1
77 2.8 1
88 2.8 1
97 2.8 1
99 2.8 1
1 2.9 0
7 2.9 0
9 2.9 0
17 2.9 1
